"oteam_name","year","lg","w","l","t","w_l","playoffs","att","cteam_name","team","venue","address","city","lat","lng"
"Atlanta Braves",1985,"NL West",66,96,0,"0.407",NULL,"1350137","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Atlanta Braves",1986,"NL West",72,89,0,"0.447",NULL,"1387181","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Atlanta Braves",1987,"NL West",69,92,0,"0.429",NULL,"1217402","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Atlanta Braves",1988,"NL West",54,106,0,"0.338",NULL,"848089","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Atlanta Braves",1989,"NL West",63,97,1,"0.394",NULL,"984930","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Atlanta Braves",1990,"NL West",65,97,0,"0.401",NULL,"980129","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Atlanta Braves",1991,"NL West",94,68,0,"0.58","Lost WS (4-3)","2140217","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Atlanta Braves",1992,"NL West",98,64,0,"0.605","Lost WS (4-2)","3077400","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Atlanta Braves",1993,"NL West",104,58,0,"0.642","Lost NLCS (4-2)","3884720","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Atlanta Braves",1994,"NL East",68,46,0,"0.596",NULL,"2539240","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Atlanta Braves",1995,"NL East",90,54,0,"0.625","Won WS (4-2)","2561831","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
